CustomerID,LookalikeID,SimilarityScore
C0001,C0152,0.9841643361862389
C0001,C0137,0.9792034489044206
C0001,C0011,0.9638117567453152
C0002,C0142,0.9775537103554541
C0002,C0088,0.8336031532817044
C0002,C0027,0.8109088782267166
C0003,C0190,0.93453842363802
C0003,C0052,0.8801355304726572
C0003,C0191,0.8773103446877661
C0004,C0113,0.9796666122748425
C0004,C0099,0.9468914785757971
C0004,C0169,0.9371306436124691
C0005,C0159,0.9805458825622605
C0005,C0178,0.953049515172444
C0005,C0146,0.9435153300582846
C0006,C0168,0.969564429331508
C0006,C0158,0.9487843632145846
C0006,C0187,0.9426943763226378
C0007,C0140,0.9202271104372346
C0007,C0078,0.8796231759340463
C0007,C0080,0.8785773546465275
C0008,C0098,0.9189322910371541
C0008,C0139,0.9125369414428447
C0008,C0109,0.8950105537739048
C0009,C0121,0.9581949361628797
C0009,C0062,0.9063128523649643
C0009,C0103,0.9011485146898097
C0010,C0086,0.9351641764111401
C0010,C0111,0.9267706864904822
C0010,C0019,0.9168628130813123
C0011,C0048,0.9953017661459076
C0011,C0137,0.9689745760336556
C0011,C0001,0.9638117567453152
C0012,C0102,0.97690765905018
C0012,C0039,0.9576952297417619
C0012,C0013,0.9539457412348139
C0013,C0102,0.9730521720602588
C0013,C0188,0.9726686013868517
C0013,C0099,0.9696642078440868
C0014,C0198,0.9885550718451113
C0014,C0060,0.9833363910469198
C0014,C0132,0.9383456151001439
C0015,C0036,0.9395422459872714
C0015,C0042,0.9089945648502482
C0015,C0131,0.8780734597506946
C0016,C0125,0.9202216761593427
C0016,C0067,0.8887577019600789
C0016,C0026,0.8868524374256725
C0017,C0075,0.9591814070091329
C0017,C0124,0.9358780608078429
C0017,C0041,0.8965287858586931
C0018,C0079,0.8984371547070251
C0018,C0117,0.8956927083133789
C0018,C0026,0.8563287873525591
C0019,C0172,0.9944736747399147
C0019,C0119,0.9358556295196729
C0019,C0127,0.9279014951875053
C0020,C0144,0.9443995090213257
C0020,C0058,0.8754463695455509
C0020,C0176,0.8453638930007542
